"s_no","tower","unit_no","unit_type","area_sqft","param"
"1","C","C-GF-01","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"2","C","C-GF-04","3 BHK - 1495 SQ.FT.","1495","empty"
"3","C","C-0101","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"4","C","C-0102","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"5","C","C-0103","3 BHK - 1495 SQ.FT.","1495","empty"
"6","C","C-0104","3 BHK - 1495 SQ.FT.","1495","empty"
"7","C","C-0201","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"8","C","C-0202","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"9","C","C-0203","3 BHK - 1495 SQ.FT.","1495","empty"
"10","C","C-0204","3 BHK - 1495 SQ.FT.","1495","empty"
"11","C","C-0301","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"12","C","C-0302","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"13","C","C-0303","3 BHK - 1495 SQ.FT.","1495","empty"
"14","C","C-0304","3 BHK - 1495 SQ.FT.","1495","empty"
"15","C","C-0401","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"16","C","C-0402","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"17","C","C-0403","3 BHK - 1495 SQ.FT.","1495","empty"
"18","C","C-0404","3 BHK - 1495 SQ.FT.","1495","empty"
"19","C","C-0501","2BHK+STUDY-1295 SQ.FT.","1295","booked"
"20","C","C-0502","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"21","C","C-0503","3 BHK - 1495 SQ.FT.","1495","empty"
"22","C","C-0504","3 BHK - 1495 SQ.FT.","1495","empty"
"23","C","C-0601","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"24","C","C-0602","2BHK+STUDY-1295 SQ.FT.","1295","booked"
"25","C","C-0603","3 BHK - 1495 SQ.FT.","1495","empty"
"26","C","C-0604","3 BHK - 1495 SQ.FT.","1495","empty"
"27","C","C-0701","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"28","C","C-0702","2BHK+STUDY-1295 SQ.FT.","1295","booked"
"29","C","C-0703","3 BHK - 1495 SQ.FT.","1495","empty"
"30","C","C-0704","3 BHK - 1495 SQ.FT.","1495","empty"
"31","C","C-0801","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"32","C","C-0802","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"33","C","C-0803","3 BHK (L) - 1575 SQ.FT.","1575","empty"
"34","C","C-0804","3 BHK (L) - 1575 SQ.FT.","1575","empty"
"35","C","C-0901","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"36","C","C-0902","2BHK+STUDY-1295 SQ.FT.","1295","booked"
"37","C","C-0903","3 BHK (L) - 1575 SQ.FT.","1575","empty"
"38","C","C-0904","3 BHK (L) - 1575 SQ.FT.","1575","empty"
"39","C","C-1001","2BHK+STUDY-1295 SQ.FT.","1295","booked"
"40","C","C-1002","2BHK+STUDY-1295 SQ.FT.","1295","booked"
"41","C","C-1003","3 BHK (L) - 1575 SQ.FT.","1575","empty"
"42","C","C-1004","3 BHK (L) - 1575 SQ.FT.","1575","empty"
"43","C","C-1101","2BHK+STUDY-1295 SQ.FT.","1295","booked"
"44","C","C-1102","2BHK+STUDY-1295 SQ.FT.","1295","booked"
"45","C","C-1103","3 BHK - 1495 SQ.FT.","1495","booked"
"46","C","C-1104","3 BHK - 1495 SQ.FT.","1495","empty"
"47","C","C-1201","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"48","C","C-1202","2BHK+STUDY-1295 SQ.FT.","1295","booked"
"49","C","C-1203","3 BHK - 1495 SQ.FT.","1495","booked"
"50","C","C-1204","3 BHK - 1495 SQ.FT.","1495","empty"
"51","C","C-1401","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"52","C","C-1402","2BHK+STUDY-1295 SQ.FT.","1295","booked"
"53","C","C-1403","3 BHK - 1495 SQ.FT.","1495","empty"
"54","C","C-1404","3 BHK - 1495 SQ.FT.","1495","empty"
"55","C","C-1501","2BHK+STUDY-1295 SQ.FT.","1295","booked"
"56","C","C-1502","2BHK+STUDY-1295 SQ.FT.","1295","booked"
"57","C","C-1503","3 BHK - 1495 SQ.FT.","1495","booked"
"58","C","C-1504","3 BHK - 1495 SQ.FT.","1495","empty"
"59","C","C-1601","2BHK+STUDY-1295 SQ.FT.","1295","booked"
"60","C","C-1602","2BHK+STUDY-1295 SQ.FT.","1295","booked"
"61","C","C-1603","3 BHK - 1495 SQ.FT.","1495","booked"
"62","C","C-1604","3 BHK - 1495 SQ.FT.","1495","booked"
"63","C","C-1701","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"64","C","C-1702","2BHK+STUDY-1295 SQ.FT.","1295","booked"
"65","C","C-1703","3 BHK - 1495 SQ.FT.","1495","booked"
"66","C","C-1704","3 BHK - 1495 SQ.FT.","1495","empty"
"67","C","C-1801","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"68","C","C-1802","2BHK+STUDY-1295 SQ.FT.","1295","booked"
"69","C","C-1803","3 BHK - 1495 SQ.FT.","1495","empty"
"70","C","C-1804","3 BHK - 1495 SQ.FT.","1495","empty"
"71","C","C-1901","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"72","C","C-1902","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"73","C","C-1903","3 BHK - 1495 SQ.FT.","1495","booked"
"74","C","C-1904","3 BHK - 1495 SQ.FT.","1495","empty"
"75","C","C-2001","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"76","C","C-2002","2BHK+STUDY-1295 SQ.FT.","1295","booked"
"77","C","C-2003","3 BHK - 1495 SQ.FT.","1495","empty"
"78","C","C-2004","3 BHK - 1495 SQ.FT.","1495","empty"
"79","D","D-GF-01","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"80","D","D-GF-04","3 BHK - 1495 SQ.FT.","1495","empty"
"81","D","D-0101","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"82","D","D-0102","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"83","D","D-0103","3 BHK - 1495 SQ.FT.","1495","empty"
"84","D","D-0104","3 BHK - 1495 SQ.FT.","1495","empty"
"85","D","D-0201","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"86","D","D-0202","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"87","D","D-0203","3 BHK - 1495 SQ.FT.","1495","empty"
"88","D","D-0204","3 BHK - 1495 SQ.FT.","1495","empty"
"89","D","D-0301","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"90","D","D-0302","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"91","D","D-0303","3 BHK - 1495 SQ.FT.","1495","empty"
"92","D","D-0304","3 BHK - 1495 SQ.FT.","1495","empty"
"93","D","D-0401","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"94","D","D-0402","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"95","D","D-0403","3 BHK - 1495 SQ.FT.","1495","empty"
"96","D","D-0404","3 BHK - 1495 SQ.FT.","1495","empty"
"97","D","D-0501","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"98","D","D-0502","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"99","D","D-0503","3 BHK - 1495 SQ.FT.","1495","empty"
"100","D","D-0504","3 BHK - 1495 SQ.FT.","1495","empty"
"101","D","D-0601","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"102","D","D-0602","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"103","D","D-0603","3 BHK - 1495 SQ.FT.","1495","empty"
"104","D","D-0604","3 BHK - 1495 SQ.FT.","1495","empty"
"105","D","D-0701","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"106","D","D-0702","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"107","D","D-0703","3 BHK - 1495 SQ.FT.","1495","empty"
"108","D","D-0704","3 BHK - 1495 SQ.FT.","1495","empty"
"109","D","D-0801","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"110","D","D-0802","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"111","D","D-0803","3 BHK (L) - 1575 SQ.FT.","1575","empty"
"112","D","D-0804","3 BHK (L) - 1575 SQ.FT.","1575","empty"
"113","D","D-0901","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"114","D","D-0902","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"115","D","D-0903","3 BHK (L) - 1575 SQ.FT.","1575","empty"
"116","D","D-0904","3 BHK (L) - 1575 SQ.FT.","1575","empty"
"117","D","D-1001","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"118","D","D-1002","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"119","D","D-1003","3 BHK (L) - 1575 SQ.FT.","1575","empty"
"120","D","D-1004","3 BHK (L) - 1575 SQ.FT.","1575","empty"
"121","D","D-1101","2BHK+STUDY-1295 SQ.FT.","1295","booked"
"122","D","D-1102","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"123","D","D-1103","3 BHK - 1495 SQ.FT.","1495","empty"
"124","D","D-1104","3 BHK - 1495 SQ.FT.","1495","empty"
"125","D","D-1201","2BHK+STUDY-1295 SQ.FT.","1295","booked"
"126","D","D-1202","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"127","D","D-1203","3 BHK - 1495 SQ.FT.","1495","empty"
"128","D","D-1204","3 BHK - 1495 SQ.FT.","1495","empty"
"129","D","D-1401","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"130","D","D-1402","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"131","D","D-1403","3 BHK - 1495 SQ.FT.","1495","empty"
"132","D","D-1404","3 BHK - 1495 SQ.FT.","1495","booked"
"133","D","D-1501","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"134","D","D-1502","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"135","D","D-1503","3 BHK - 1495 SQ.FT.","1495","empty"
"136","D","D-1504","3 BHK - 1495 SQ.FT.","1495","empty"
"137","D","D-1601","2BHK+STUDY-1295 SQ.FT.","1295","booked"
"138","D","D-1602","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"139","D","D-1603","3 BHK - 1495 SQ.FT.","1495","empty"
"140","D","D-1604","3 BHK - 1495 SQ.FT.","1495","empty"
"141","D","D-1701","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"142","D","D-1702","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"143","D","D-1703","3 BHK - 1495 SQ.FT.","1495","empty"
"144","D","D-1704","3 BHK - 1495 SQ.FT.","1495","empty"
"145","D","D-1801","2BHK+STUDY-1295 SQ.FT.","1295","booked"
"146","D","D-1802","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"147","D","D-1803","3 BHK - 1495 SQ.FT.","1495","empty"
"148","D","D-1804","3 BHK - 1495 SQ.FT.","1495","empty"
"149","D","D-1901","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"150","D","D-1902","2BHK+STUDY-1295 SQ.FT.","1295","booked"
"151","D","D-1903","3 BHK - 1495 SQ.FT.","1495","empty"
"152","D","D-1904","3 BHK - 1495 SQ.FT.","1495","empty"
"153","D","D-2001","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"154","D","D-2002","2BHK+STUDY-1295 SQ.FT.","1295","empty"
"155","D","D-2003","3 BHK - 1495 SQ.FT.","1495","empty"
"156","D","D-2004","3 BHK - 1495 SQ.FT.","1495","empty"
